ClassCodeUcCode Weekday StartHourDurationType
2LEIC04   L.EIC014Friday       16      2PL
2LEIC05   L.EIC014Wednesday    11      2PL
2LEIC06   L.EIC014Wednesday    11      2PL
2LEIC07   L.EIC014Tuesday      8.5     2PL
2LEIC08   L.EIC014Thursday    15.5     2PL
2LEIC09   L.EIC014Monday      14.5     2PL
2LEIC10   L.EIC014Wednesday    8.5     2PL
2LEIC11   L.EIC014Wednesday    8.5     2PL
2LEIC12   L.EIC014Tuesday     10.5     2PL
2LEIC13   L.EIC014Tuesday     10.5     2PL
2LEIC14   L.EIC014Thursday    17.5     2PL
2LEIC15   L.EIC014Friday       14      2PL
2LEIC16   L.EIC014Friday       14      2PL
2LEIC01   L.EIC014Friday       14      2T
2LEIC02   L.EIC014Friday       14      2T
2LEIC03   L.EIC014Friday       14      2T
2LEIC04   L.EIC014Friday       14      2T
2LEIC05   L.EIC014Friday       14      2T
2LEIC06   L.EIC014Friday       14      2T
2LEIC07   L.EIC014Friday       14      2T
2LEIC08   L.EIC014Friday       14      2T
2LEIC09   L.EIC014Friday       16      2T
2LEIC10   L.EIC014Friday       16      2T
2LEIC11   L.EIC014Friday       16      2T
2LEIC12   L.EIC014Friday       16      2T
2LEIC13   L.EIC014Friday       16      2T
2LEIC14   L.EIC014Friday       16      2T
2LEIC15   L.EIC014Friday       16      2T
2LEIC16   L.EIC014Friday       16      2T
2LEIC01   L.EIC015Friday       16      2TP
2LEIC02   L.EIC015Wednesday    11      2TP
2LEIC03   L.EIC015Monday       17      2TP
2LEIC04   L.EIC015Monday       17      2TP
2LEIC05   L.EIC015Tuesday      8.5     2TP
2LEIC06   L.EIC015Tuesday      8.5     2TP
2LEIC07   L.EIC015Wednesday    11      2TP
2LEIC08   L.EIC015Wednesday    11      2TP
2LEIC09   L.EIC015Tuesday     10.5     2TP
2LEIC10   L.EIC015Tuesday     10.5     2TP
2LEIC11   L.EIC015Thursday    17.5     2TP
2LEIC12   L.EIC015Friday       14      2TP
2LEIC13   L.EIC015Wednesday    8.5     2TP
2LEIC14   L.EIC015Monday      14.5     2TP
2LEIC15   L.EIC015Wednesday    8.5     2TP
2LEIC01   L.EIC015Monday       14      2T
2LEIC02   L.EIC015Monday       14      2T
2LEIC03   L.EIC015Monday       14      2T
2LEIC04   L.EIC015Monday       14      2T
2LEIC05   L.EIC015Monday       14      2T
2LEIC06   L.EIC015Monday       14      2T
2LEIC07   L.EIC015Monday       14      2T
2LEIC08   L.EIC015Monday       14      2T
2LEIC09   L.EIC015Thursday    15.5     2T
2LEIC10   L.EIC015Thursday    15.5     2T
2LEIC11   L.EIC015Thursday    15.5     2T
2LEIC12   L.EIC015Thursday    15.5     2T
2LEIC13 L.EIC015Thursday      15.5    2T
2LEIC14 L.EIC015Thursday      15.5    2T
2LEIC15 L.EIC015Thursday      15.5    2T

3LEIC01   L.EIC021Thursday     8.5     2TP
3LEIC02   L.EIC021Wednesday   10.5     2TP
3LEIC03   L.EIC021Tuesday      8.5     2TP
3LEIC04   L.EIC021Tuesday      8.5     2TP
3LEIC05   L.EIC021Friday      10.5     2TP
3LEIC06   L.EIC021Monday      10.5     2TP
3LEIC08   L.EIC021Monday       14      2TP
3LEIC09   L.EIC021Monday       14      2TP
3LEIC10   L.EIC021Wednesday      8     2TP
3LEIC11   L.EIC021Thursday    10.5     2TP
3LEIC12   L.EIC021Wednesday    8.5     2TP
3LEIC14   L.EIC021Friday       8.5     2TP
3LEIC08   L.EIC021Monday       16      1T
3LEIC09   L.EIC021Monday       16      1T
3LEIC10   L.EIC021Monday       16      1T
3LEIC11   L.EIC021Monday       16      1T
3LEIC12   L.EIC021Monday       16      1T
3LEIC14   L.EIC021Monday       16      1T
3LEIC08   L.EIC021Wednesday   11.5     1T
3LEIC09   L.EIC021Wednesday   11.5     1T
3LEIC10   L.EIC021Wednesday   11.5     1T
3LEIC11   L.EIC021Wednesday   11.5     1T
3LEIC12   L.EIC021Wednesday   11.5     1T
3LEIC14   L.EIC021Wednesday   11.5     1T
3LEIC01   L.EIC021Friday       9.5     1T
3LEIC02   L.EIC021Friday       9.5     1T
3LEIC03   L.EIC021Friday       9.5     1T
3LEIC04   L.EIC021Friday       9.5     1T
3LEIC05   L.EIC021Friday       9.5     1T
3LEIC06   L.EIC021Friday       9.5     1T
3LEIC01   L.EIC021Wednesday    9.5     1T
3LEIC02   L.EIC021Wednesday    9.5     1T
3LEIC03   L.EIC021Wednesday    9.5     1T
3LEIC04   L.EIC021Wednesday    9.5     1T
3LEIC05   L.EIC021Wednesday    9.5     1T
3LEIC06   L.EIC021Wednesday    9.5     1T
3LEIC01   L.EIC022Friday      10.5   1.5TP
3LEIC02   L.EIC022Monday      10.5   1.5TP
3LEIC03   L.EIC022Thursday       9   1.5TP
3LEIC04   L.EIC022Friday      10.5   1.5TP
3LEIC05   L.EIC022Wednesday   10.5   1.5TP
3LEIC06   L.EIC022Tuesday        9   1.5TP
3LEIC07   L.EIC022Tuesday        9   1.5TP
3LEIC08   L.EIC022Friday         9   1.5TP
3LEIC09   L.EIC022Tuesday     10.5   1.5TP
3LEIC10   L.EIC022Monday      14.5   1.5TP
3LEIC12   L.EIC022Friday         9   1.5TP
3LEIC14   L.EIC022Tuesday     10.5   1.5TP
3LEIC08   L.EIC022Friday      10.5   1.5T
3LEIC09   L.EIC022Friday      10.5   1.5T
3LEIC10   L.EIC022Friday      10.5   1.5T
3LEIC12   L.EIC022Friday      10.5   1.5T
3LEIC14   L.EIC022Friday      10.5   1.5T
3LEIC01   L.EIC022Wednesday      8   1.5T
3LEIC02   L.EIC022Wednesday      8   1.5T
3LEIC03   L.EIC022Wednesday      8   1.5T
3LEIC04   L.EIC022Wednesday      8   1.5T
3LEIC05   L.EIC022Wednesday      8   1.5T
3LEIC06   L.EIC022Wednesday      8   1.5T
3LEIC07   L.EIC022Wednesday      8   1.5T
3LEIC01   L.EIC023Wednesday   10.5     2PL
3LEIC02   L.EIC023Tuesday      8.5     2PL
3LEIC03   L.EIC023Monday      10.5     2PL
3LEIC04   L.EIC023Thursday     8.5     2PL
